mineral,horizon,model,n,rmse,mae,smape,directional_accuracy,skill_rmse_vs_naive
Gold,3,naive,22,10.11,8.92,2.36,0.0,0.0
Gold,3,sarima,22,43.1,40.32,10.11,0.55,-3.26
Gold,3,random_forest,22,56.22,55.23,13.63,0.55,-4.56
Gold,3,arima,22,60.0,59.36,14.59,0.55,-4.93
Gold,3,lightgbm,22,65.15,64.51,15.74,0.55,-5.44
Gold,3,catboost,22,67.86,66.88,16.25,0.55,-5.71
Gold,3,historical_mean,22,143.26,142.99,31.83,0.55,-13.17
Gold,3,sarimax,0,,,,,
Gold,3,xgboost,0,,,,,
Gold,6,naive,22,16.18,12.65,3.31,0.0,0.0
Gold,6,sarima,22,40.66,36.84,9.27,0.36,-1.51
Gold,6,catboost,22,60.46,59.72,14.66,0.36,-2.74
Gold,6,arima,22,60.81,60.18,14.77,0.36,-2.76
Gold,6,random_forest,22,61.21,60.58,14.86,0.36,-2.78
Gold,6,lightgbm,22,61.69,60.59,14.85,0.36,-2.81
Gold,6,historical_mean,22,145.33,145.06,32.22,0.36,-7.98
Gold,6,sarimax,0,,,,,
Gold,6,xgboost,0,,,,,
Gold,12,naive,21,24.39,18.87,4.88,0.0,0.0
Gold,12,sarima,21,24.49,19.6,5.05,0.67,-0.0
Gold,12,arima,21,39.27,38.29,9.68,0.43,-0.61
Gold,12,catboost,21,52.5,51.72,12.84,0.33,-1.15
Gold,12,random_forest,21,53.84,52.8,13.09,0.33,-1.21
Gold,12,lightgbm,21,54.86,53.93,13.35,0.33,-1.25
Gold,12,historical_mean,21,149.01,148.75,32.93,0.33,-5.11
Gold,12,sarimax,0,,,,,
Gold,12,xgboost,0,,,,,
Coal,3,catboost,22,3.86,2.94,3.46,0.64,0.15
Coal,3,random_forest,22,4.07,3.11,3.65,0.64,0.1
Coal,3,arima,22,4.11,3.22,3.79,0.64,0.1
Coal,3,lightgbm,22,4.16,3.03,3.56,0.64,0.09
Coal,3,naive,22,4.55,3.75,4.44,0.0,0.0
Coal,3,sarima,22,7.28,5.88,6.7,0.64,-0.6
Coal,3,historical_mean,22,9.37,8.73,10.58,0.45,-1.06
Coal,3,sarimax,0,,,,,
Coal,3,xgboost,0,,,,,
Coal,6,lightgbm,22,3.88,2.77,3.26,0.82,0.33
Coal,6,catboost,22,4.08,2.98,3.5,0.86,0.3
Coal,6,arima,22,4.13,3.21,3.77,0.82,0.29
Coal,6,random_forest,22,4.63,3.44,4.02,0.68,0.2
Coal,6,naive,22,5.8,4.67,5.52,0.0,0.0
Coal,6,sarima,22,7.04,5.63,6.43,0.55,-0.21
Coal,6,historical_mean,22,9.53,8.9,10.8,0.55,-0.64
Coal,6,sarimax,0,,,,,
Coal,6,xgboost,0,,,,,
Coal,12,catboost,21,3.83,3.01,3.53,0.81,0.17
Coal,12,random_forest,21,4.13,3.21,3.78,0.76,0.11
Coal,12,arima,21,4.21,3.43,4.04,0.76,0.09
Coal,12,lightgbm,21,4.21,3.24,3.81,0.76,0.09
Coal,12,naive,21,4.64,3.93,4.62,0.0,0.0
Coal,12,sarima,21,6.12,4.45,5.15,0.48,-0.32
Coal,12,historical_mean,21,9.82,9.16,11.15,0.67,-1.12
Coal,12,sarimax,0,,,,,
Coal,12,xgboost,0,,,,,
Iron ore,3,sarima,22,4.59,3.77,7.72,0.73,0.25
Iron ore,3,lightgbm,22,5.69,4.98,10.34,0.55,0.07
Iron ore,3,random_forest,22,5.88,5.16,10.74,0.59,0.04
Iron ore,3,naive,22,6.15,5.21,10.67,0.0,0.0
Iron ore,3,catboost,22,6.56,5.75,12.06,0.55,-0.07
Iron ore,3,arima,22,7.08,6.17,13.0,0.5,-0.15
Iron ore,3,historical_mean,22,8.74,7.92,17.1,0.41,-0.42
Iron ore,3,sarimax,0,,,,,
Iron ore,3,xgboost,0,,,,,
Iron ore,6,naive,22,4.76,4.37,8.91,0.0,0.0
Iron ore,6,lightgbm,22,5.68,4.89,10.13,0.64,-0.19
Iron ore,6,random_forest,22,6.1,5.3,11.05,0.64,-0.28
Iron ore,6,catboost,22,6.64,5.78,12.12,0.64,-0.39
Iron ore,6,arima,22,8.34,7.5,16.11,0.55,-0.75
Iron ore,6,sarima,22,8.35,7.53,16.19,0.55,-0.75
Iron ore,6,historical_mean,22,8.75,7.94,17.14,0.55,-0.84
Iron ore,6,sarimax,0,,,,,
Iron ore,6,xgboost,0,,,,,
Iron ore,12,naive,21,5.16,3.75,7.76,0.0,0.0
Iron ore,12,random_forest,21,5.88,5.11,10.59,0.62,-0.14
Iron ore,12,sarima,21,6.21,5.48,11.41,0.52,-0.2
Iron ore,12,lightgbm,21,6.46,5.57,11.61,0.52,-0.25
Iron ore,12,catboost,21,6.91,6.07,12.74,0.52,-0.34
Iron ore,12,arima,21,8.48,7.63,16.34,0.48,-0.64
Iron ore,12,historical_mean,21,9.11,8.32,17.99,0.38,-0.77
Iron ore,12,sarimax,0,,,,,
Iron ore,12,xgboost,0,,,,,
Copper,3,random_forest,22,46.57,35.82,14.38,0.73,0.41
Copper,3,sarima,22,53.54,43.54,17.14,0.68,0.32
Copper,3,catboost,22,56.47,48.19,18.8,0.68,0.28
Copper,3,arima,22,59.56,50.78,19.65,0.68,0.24
Copper,3,lightgbm,22,59.95,50.22,19.46,0.68,0.24
Copper,3,historical_mean,22,67.96,57.71,21.92,0.64,0.14
Copper,3,naive,22,78.84,55.59,22.21,0.0,0.0
Copper,3,sarimax,0,,,,,
Copper,3,xgboost,0,,,,,
Copper,6,sarima,22,50.56,40.43,16.05,0.64,0.11
Copper,6,arima,22,53.43,44.93,17.67,0.55,0.06
Copper,6,random_forest,22,53.49,45.39,17.84,0.59,0.06
Copper,6,catboost,22,54.69,44.31,17.41,0.59,0.04
Copper,6,naive,22,56.71,43.65,17.82,0.0,0.0
Copper,6,lightgbm,22,57.28,45.11,17.78,0.5,-0.01
Copper,6,historical_mean,22,69.4,59.09,22.36,0.5,-0.22
Copper,6,sarimax,0,,,,,
Copper,6,xgboost,0,,,,,
Copper,12,sarima,21,48.16,38.14,15.31,0.71,0.3
Copper,12,random_forest,21,49.01,38.5,15.44,0.76,0.29
Copper,12,lightgbm,21,52.57,42.51,16.88,0.71,0.24
Copper,12,arima,21,53.82,45.52,17.97,0.67,0.22
Copper,12,catboost,21,56.51,48.3,18.91,0.71,0.18
Copper,12,naive,21,69.02,54.9,21.78,0.0,0.0
Copper,12,historical_mean,21,70.45,60.83,23.07,0.62,-0.02
Copper,12,sarimax,0,,,,,
Copper,12,xgboost,0,,,,,
